"66","151","2.3","cl"
"56","151","4.5","cl"
"71","151","1","dash"
"151","152","4.5","cl"
"66","152","3","cl"
"81","152","3","cl"
"71","152","2","dashes"
"121","153","3","cl"
"66","153","3","cl"
"20","153","Twist","of"
"114","153","Twist","of"
"151","154","4.5","cl"
"66","154","1.5","cl"
"81","154","1.5","cl"
"17","154","2","dashes"
"66","155","3","cl"
"152","155","4.5","cl"
"20","155","1","twist"
"66","156","4.5","cl"
"151","156","4.5","cl"
"85","156","1","1/4"
"20","156","1","twist"
"121","157","3","cl"
"66","157","3","cl"
"153","157","3.8","cl"
"108","157","1","cl"
"66","158","3","cl"
"152","158","1.5","cl"
"84","158","1.5","cl"
"151","159","3","cl"
"66","159","3","cl"
"17","159","1","dash"
"30","159","1/4","tsp"
"151","160","4.5","cl"
"66","160","2.3","cl"
"71","160","2","dashes"
"117","160","1","dashes"
"66","161","2.3","cl"
"51","161","7.5","cl"
"150","161","dash","cl"
"44","161","2","or"
"50","161","1","or"
"114","161","1","twist"
"154","162","6","cl"
"66","162","3","cl"
"92","162","1.5","cl"
"61","163","6","cl"
"11","163","6","cl"
"127","163","6","cl"
"100","163","","cl"
"61","164","1.5","cl"
"13","164","3","cl"
"14","164","1.5","cl"
"22","164","3","cl"
"62","164","3","cl"
"132","164","","cl"
"151","165","7.5","cl"
"81","165","1","1/2"
"20","165","1","twist"
"151","166","4.5","cl"
"129","166","2.3","cl"
"151","167","1","cup"
"155","167","1","1/4"
"156","167","1","can"
"157","167","3","drops"
"158","167","1","tblsp"
"151","168","6","cl"
"159","168","1.5","cl"
"81","168","1.5","cl"
"20","168","1","twist"
"151","169","4.5","cl"
"159","169","1.5","cl"
"20","169","1","twist"
"151","170","6","cl"
"34","170","4","dashes"
"160","170","4","dashes"
"29","170","1","slice"
"27","170","1","slice"
"151","171","4.5","cl"
"35","171","Juice","of"
"41","171","1/2","tsp"
"18","171","1/2","slice"
"33","171","1","slice"
"151","172","4.5","cl"
"84","172","3","cl"
"11","172","3","cl"
"151","173","4.5","cl"
"84","173","3","cl"
"28","174","3","cl"
"14","174","3","cl"
"35","174","Juice","of"
"14","175","3","cl"
"28","175","3","cl"
"22","175","1/2","tsp"
"28","176","1","qt"
"106","176","4","fifth"
"10","176","1","fifth"
"68","176","4","L"
"11","176","1/2","gal"
"28","177","3","cl"
"11","177","3","cl"
"16","177","3","cl"
"28","178","4.5","cl"
"11","178","1","tblsp"
"71","178","2","dashes"
"161","179","1","shot"
"11","179","1","shot"
"14","179","1","shot"
"23","179","Fill","to"
"162","180","4.5","cl"
"14","180","1","dash"
"46","180","1","tblsp"
"14","181","1/2","jigger"
"129","181","3","shots"
"163","181","1/2","cup"
"44","181","Add","1/2"
"164","182","6","cl"
"14","182","1.5","cl"
"35","182","2","wedges"
"119","182","6","cl"
"165","183","","cl"
"5","183","1.5","cl"
"14","183","1.5","cl"
"34","183","","cl"
"34","184","6","cl"
"14","184","1.5","cl"
"22","184","1","tblsp"
"166","185","2","parts"
"98","185","2","parts"
"167","185","2","parts"
"168","185","1","part"
"10","186","3","cl"
"14","186","3","cl"
"24","186","3","cl"
"13","187","4.5","cl"
"14","187","1.5","cl"
"24","187","3","cl"
"132","187","","cl"
"10","188","3","cl"
"14","188","3","cl"
"11","188","3","cl"
"63","189","1.5","cl"
"129","189","1.5","cl"
"14","189","1.5","cl"
"10","189","1.5","cl"
"39","189","3","cl"
"34","190","3","cl"
"14","190","1.5","cl"
"18","190","Juice","of"
"169","191","3","cl"
"166","191","1.5","cl"
"98","191","1.5","cl"
"109","191","1.5","cl"
"129","192","1","shot"
"164","192","1","shot"
"44","192","cubes","shot"
"119","192","","shot"
"170","193","1.5","cl"
"164","193","2.3","cl"
"10","193","1.5","cl"
"171","193","Fill","with"
"164","194","3","cl"
"129","194","3","cl"
"152","194","1.5","cl"
"22","194","1","dash"
"129","195","1","shot"
"69","195","1","shot"
"164","195","1","shot"
"10","196","2","cl"
"164","196","2","cl"
"172","196","2","cl"
"16","196","6","cl"
"100","196","1","dash"
"164","197","750","ml"
"11","197","1","L"
"173","197","750","ml"
"174","198","1","part"
"38","198","1/2","part"
"164","198","1","part"
"16","198","1","splash"
"152","199","6","cl"
"81","199","1/4","tsp"
"71","199","1","dash"
"175","200","2","scoops"
"34","200","6","cl"
"129","200","6","cl"
"34","201","3","cl"
"63","201","3","cl"
"39","201","3","cl"
"57","201","","cl"
"34","202","6","cl"
"126","202","1","whole"
"25","202","1","tsp"
"39","202","1.5","cl"
"57","202","1/8","tsp"
"34","203","6","cl"
"18","203","Juice","of"
"41","203","1/2","tsp"
"33","203","1","slice"
"20","204","1","long"
"34","204","6","cl"
"23","204","15","cl"
"17","204","2","dashes"
"139","205","3","cl"
"34","205","1.5","cl"
"165","205","","cl"
"40","206","7.5","cl"
"34","206","1/2","tsp"
"34","207","3","parts"
"40","207","9","parts"
"176","207","2","parts"
"34","208","3","cl"
"129","208","3","cl"
"39","208","3","cl"
"34","209","4.5","cl"
"60","209","4.5","cl"
"34","210","4.5","cl"
"170","210","1.5","cl"
"47","211","4.5","cl"
"81","211","3","cl"
"46","211","3","cl"
"47","212","6","cl"
"18","212","Juice","of"
"41","212","1","tsp"
"26","212","1","tsp"
"33","212","1","slice"
"47","213","6","cl"
"18","213","Juice","of"
"35","213","Juice","of"
"41","213","1","tblsp"
"31","213","1/4","tsp"
"42","213","","tsp"
"47","214","6","cl"
"85","214","1.5","cl"
"18","214","Juice","of"
"35","214","Juice","of"
"47","215","4.5","cl"
"18","215","Juice","of"
"41","215","1","tsp"
"40","215","1","tblsp"
"26","215","1","tblsp"
"42","215","","tblsp"
"47","216","6","cl"
"18","216","Juice","of"
"25","216","1","tsp"
"177","216","(Claret)","tsp"
"33","216","","tsp"
"47","217","6","cl"
"18","217","Juice","of"
"41","217","1/2","tsp"
"33","217","1","tsp"
"118","218","1","shot"
"81","218","1/2","shot"
"76","218","1/2","shot"
"12","218","1/2","shot"
"93","218","1/4","shot"
"110","218","1/4","shot"
"58","218","1/2","shot"
"81","219","3","cl"
"51","219","3","cl"
"178","219","1","1/2"
"22","219","1","1/2"
"20","219","1","twist"
"10","220","70ml/2fl","oz"
"81","220","1","tbsp"
"179","220","2","tbsp"
"18","220","1","wedge"
"117","220","1","wedge"
"153","221","6","cl"
"121","221","3","cl"
"81","221","3","cl"
"81","222","4.5","cl"
"77","222","2.3","cl"
"42","222","","cl"
"10","223","4.5","cl"
"81","223","2.3","cl"
"117","223","1","cl"
"180","224","3","cl"
"129","224","1.5","cl"
"11","224","12","cl"
"31","224","1.5","cl"
"129","225","1","jigger"
"18","225","Juice","of"
"44","225","","of"
"50","225","","of"
"129","226","1/3","of"
"134","226","1/3","of"
"76","226","1/3","of"
"129","227","2.3","cl"
"3","227","1.5","cl"
"165","227","24","cl"
"129","228","1.5","cl"
"63","228","1.5","cl"
"39","228","6","cl"
"129","229","4.5","cl"
"39","229","4.5","cl"
"129","230","4.5","cl"
"35","230","1","cl"
"129","231","4.5","cl"
"24","231","1.5","cl"
"100","231","","cl"
"129","232","4.5","cl"
"119","232","9","cl"
"129","233","4.5","cl"
"170","233","2.3","cl"
"129","234","1","part"
"119","234","1","part"
"11","234","1","part"
"119","235","6","cl"
"129","235","6","cl"
"13","235","6","cl"
"11","235","Add","splash"
"129","236","1","cl"
"11","236","12","cl"
"31","236","1/4","cl"
"129","237","","cl"
"16","237","","cl"
"181","237","","cl"
"46","237","","cl"
"182","238","18","cl"
"129","238","6","cl"
"183","238","Chilled","cl"
"128","239","1/2","shot"
"5","239","1/2","shot"
"129","239","1","dash"
"129","240","3","cl"
"10","240","3","cl"
"2","240","3","cl"
"184","240","3","cl"
"185","240","3","cl"
"129","241","1.5","cl"
"63","241","1.5","cl"
"39","241","6","cl"
"76","242","4.5","cl"
"129","242","2.3","cl"
"10","243","3","cl"
"129","243","3","cl"
"74","243","3","cl"
"10","244","4.5","cl"
"129","244","2.3","cl"
"129","245","1","part"
"186","245","1","part"
"139","245","1","part"
"5","245","2","1/2"
"187","246","3","cl"
"129","246","3","cl"
"10","247","1","shot"
"129","247","1","shot"
"152","247","1","shot"
"14","247","1","shot"
"127","247","","shot"
"185","248","3/4","bottle"
"129","248","1","shot"
"11","248","3","cl"
"188","249","1","shot"
"129","249","1","shot"
"127","249","1","shot"
"165","250","24","cl"
"187","250","12","cl"
"129","250","12","cl"
"183","250","","cl"
"139","251","1.5","cl"
"189","251","1.5","cl"
"129","251","1.5","cl"
"2","251","1.5","cl"
"168","251","3","cl"
"154","252","50","ml"
"129","252","50","ml"
"190","252","12","cl"
"191","253","3","cl"
"129","253","2.3","cl"
"46","253","1","splash"
"129","254","6","cl"
"118","254","6","cl"
"192","254","12","cl"
"182","255","1","quart"
"153","255","1","quart"
